date	video_id	title	duration_seconds	insult_seconds	insult_hms	insult_share	source_file	source_url
2025-06-01	Y91C-2onTSs	DGGer's Guide to the Destiny Content Nuke	796	42	0:00:42	5.3%	transcripts/ryle-kittenhouse/processed/20250601-Y91C-2onTSs.txt	https://youtu.be/Y91C-2onTSs?t=0
2025-05-23	7sWjWxGEN24	DESTINY demands PXIE pays to take down the videos HE LEAKED of HIMSELF! Unreal sickness.	2665	42	0:00:42	1.6%	transcripts/ryle-kittenhouse/processed/20250523-7sWjWxGEN24.txt	https://youtu.be/7sWjWxGEN24?t=0
2025-06-09	_ARAWyJvGMw	MRGrill vs. Extreme Dad - Is Destiny an E-R**ist? Review	3618	41	0:00:41	1.1%	transcripts/ryle-kittenhouse/processed/20250609-_ARAWyJvGMw.txt	https://youtu.be/_ARAWyJvGMw?t=0
2026-05-22	BMLQnVvGzQs	Destiny Orbiter COPES Hard on Botched DNC Report	3131	40	0:00:40	1.3%	transcripts/ryle-kittenhouse/processed/20260522-BMLQnVvGzQs.txt	https://youtu.be/BMLQnVvGzQs?t=0
2025-07-24	Z31osFs0rCk	Did Jaystalk D@XX WillyMacShow?? 🚨	3262	36	0:00:36	1.1%	transcripts/ryle-kittenhouse/processed/20250724-Z31osFs0rCk.txt	https://youtu.be/Z31osFs0rCk?t=0
2026-03-26	6QM1Q1-Wb4E	NotSoErudite: from Destiny Orbiter to Tim Pool’s PICK-ME	9955	35	0:00:35	0.4%	transcripts/ryle-kittenhouse/processed/20260326-6QM1Q1-Wb4E.txt	https://youtu.be/6QM1Q1-Wb4E?t=0
2026-05-04	Q0OVR8zA7Vg	HE’S GONE TOO FAR! Destiny’s bad faith Pisco attack	3387	34	0:00:34	1.0%	transcripts/ryle-kittenhouse/processed/20260504-Q0OVR8zA7Vg.txt	https://youtu.be/Q0OVR8zA7Vg?t=0
2025-08-06	cgOWTpX1Ank	Ukranian Ana TRASHES Econoboi as the Drama in the Destiny Orbit CONTINUES to Heat up	5369	32	0:00:32	0.6%	transcripts/ryle-kittenhouse/processed/20250806-cgOWTpX1Ank.txt	https://youtu.be/cgOWTpX1Ank?t=0
2025-06-15	p3dA8bFMFCU	DESTINY takes MASSIVE LOSS in court as PXIE makes up HUGE ground against him	3934	32	0:00:32	0.8%	transcripts/ryle-kittenhouse/processed/20250615-p3dA8bFMFCU.txt	https://youtu.be/p3dA8bFMFCU?t=0
2025-05-19	Ets4QIhGBYI	David Pakman DROPS Destiny PUBLICLY after event organizer HIDES DETAILS about Destiny's Crimes	1470	32	0:00:32	2.2%	transcripts/ryle-kittenhouse/processed/20250519-Ets4QIhGBYI.txt	https://youtu.be/Ets4QIhGBYI?t=0
2026-02-15	hHuwn4MV9LY	Destiny's Top Soldier Gets EXPOSED: The DISGUSTING Admissions	3900	31	0:00:31	0.8%	transcripts/ryle-kittenhouse/processed/20260215-hHuwn4MV9LY.txt	https://youtu.be/hHuwn4MV9LY?t=0
2025-12-22	oZz6g01S_eE	HE CRIED?? Turncoat Orbiter Has Pathetic Meltdown	6181	30	0:00:30	0.5%	transcripts/ryle-kittenhouse/processed/20251222-oZz6g01S_eE.txt	https://youtu.be/oZz6g01S_eE?t=0
2025-07-17	CPvQAsvjrp4	Destiny is FEELING THE HEAT in his Lawsuit, causing him to go FULL SCH1ZO	3948	28	0:00:28	0.7%	transcripts/ryle-kittenhouse/processed/20250717-CPvQAsvjrp4.txt	https://youtu.be/CPvQAsvjrp4?t=0
2026-05-08	gLLXntUPbmg	Destiny's Top Defender Becomes a TOTAL LOLCOW	4011	26	0:00:26	0.6%	transcripts/ryle-kittenhouse/processed/20260508-gLLXntUPbmg.txt	https://youtu.be/gLLXntUPbmg?t=0
2026-05-19	7o5QLV7fLu8	"THE TRUTH: Addressing The LIES About ""Secret"" Snark Discord"	2845	25	0:00:25	0.9%	transcripts/ryle-kittenhouse/processed/20260519-7o5QLV7fLu8.txt	https://youtu.be/7o5QLV7fLu8?t=0
2025-08-25	nc5q6-3DvqY	How Many YEARS in JAIL Destiny is Facing? (@PotentiallyCriminal)	3208	25	0:00:25	0.8%	transcripts/ryle-kittenhouse/processed/20250825-nc5q6-3DvqY.txt	https://youtu.be/nc5q6-3DvqY?t=0
2025-04-21	iALGz696oWk	KELLY JEAN vs DICKERS: Did WillyMac SLANDER Kelly Jean? Either way, we all agree @destiny yucky	4537	25	0:00:25	0.5%	transcripts/ryle-kittenhouse/processed/20250421-iALGz696oWk.txt	https://youtu.be/iALGz696oWk?t=0
2026-01-02	8X5g71MWp0M	DADDY CHILL!! Pisco MOCKS Connor to his FACE!	10019	24	0:00:24	0.2%	transcripts/ryle-kittenhouse/processed/20260102-8X5g71MWp0M.txt	https://youtu.be/8X5g71MWp0M?t=0
2025-09-21	3wnDf9FBHno	CONNERPOINTS supports Destiny, PDF or NOT?!	4645	23	0:00:23	0.5%	transcripts/ryle-kittenhouse/processed/20250921-3wnDf9FBHno.txt	https://youtu.be/3wnDf9FBHno?t=0
2025-10-04	tPr4NTI1h5A	Pxie goes NUCLEAR on Destiny: the MINOR (Rose) will join the LAWSUIT! (Latest Court Filings)	6358	21	0:00:21	0.3%	transcripts/ryle-kittenhouse/processed/20251004-tPr4NTI1h5A.txt	https://youtu.be/tPr4NTI1h5A?t=0
2025-07-22	hS2cdKdOmzI	Ex-DGG Orbiter Has CRASHOUT Fight With CALLER (then BANS them!)	4696	21	0:00:21	0.5%	transcripts/ryle-kittenhouse/processed/20250722-hS2cdKdOmzI.txt	https://youtu.be/hS2cdKdOmzI?t=0
2026-03-12	hGBjjVDiX-c	DESTINY CRIES SURRENDER against Taylor Lorenz!	4237	19	0:00:19	0.5%	transcripts/ryle-kittenhouse/processed/20260312-hGBjjVDiX-c.txt	https://youtu.be/hGBjjVDiX-c?t=0
2025-09-17	Rb81-azM2xM	Kuihman, Chaeiry & JSTALK discuss Whick, Destiny, Saltman FAILURES and FALLOUT	2803	19	0:00:19	0.7%	transcripts/ryle-kittenhouse/processed/20250917-Rb81-azM2xM.txt	https://youtu.be/Rb81-azM2xM?t=0
2025-07-07	J7iHUtKtd74	Nu Commentary Cabal: Augie, Kuihman, Mrow, Jaystalk talk Willymac, Deorio, Tommyc, Saltman and Hasan	7877	16	0:00:16	0.2%	transcripts/ryle-kittenhouse/processed/20250707-J7iHUtKtd74.txt	https://youtu.be/J7iHUtKtd74?t=0
2025-06-06	6tf6yC4vLQw	Destiny CALLED OUT by Idubbbz, feat. Chaeiry and KellyJean	3151	16	0:00:16	0.5%	transcripts/ryle-kittenhouse/processed/20250606-6tf6yC4vLQw.txt	https://youtu.be/6tf6yC4vLQw?t=0
2025-05-18	FPFmWU8y9mY	DESTINY SP*RGS AGAIN! Another day, another Destiny loss in court!  [credit A.G.Peak]	1843	16	0:00:16	0.9%	transcripts/ryle-kittenhouse/processed/20250518-FPFmWU8y9mY.txt	https://youtu.be/FPFmWU8y9mY?t=0
2026-03-22	ygI7WlOV1As	Destiny and UnF@&% America get CANCELED!	1720	15	0:00:15	0.8%	transcripts/ryle-kittenhouse/processed/20260322-ygI7WlOV1As.txt	https://youtu.be/ygI7WlOV1As?t=0
2026-05-03	CrfqZLBivF8	Destiny vs REALITY: The DNC Autopsy Scandal	2648	14	0:00:14	0.5%	transcripts/ryle-kittenhouse/processed/20260503-CrfqZLBivF8.txt	https://youtu.be/CrfqZLBivF8?t=0
2025-07-08	3btt4F5673o	Dan Saltman vs Nicholas Deorio friendship CRASHOUT	5811	14	0:00:14	0.2%	transcripts/ryle-kittenhouse/processed/20250708-3btt4F5673o.txt	https://youtu.be/3btt4F5673o?t=0
2025-06-17	UAwJ2O8T6uQ	Nuking Destiny: Part 3	1308	14	0:00:14	1.1%	transcripts/ryle-kittenhouse/processed/20250617-UAwJ2O8T6uQ.txt	https://youtu.be/UAwJ2O8T6uQ?t=0
2025-10-04	DCgw7Ac1jYM	Hasanabi Reviews Destiny's Latest Pxie Court Filing FALLOUT (Rose, the Minor, Subpoenaed)	714	13	0:00:13	1.8%	transcripts/ryle-kittenhouse/processed/20251004-DCgw7Ac1jYM.txt	https://youtu.be/DCgw7Ac1jYM?t=0
2026-02-28	4yei55kHNB0	NotSoErudite SNARKS DESTINY? Is the friendship OVER??	2444	12	0:00:12	0.5%	transcripts/ryle-kittenhouse/processed/20260228-4yei55kHNB0.txt	https://youtu.be/4yei55kHNB0?t=0
2025-06-11	3qV13EdLmWY	Nuking Destiny: Part 2	842	12	0:00:12	1.5%	transcripts/ryle-kittenhouse/processed/20250611-3qV13EdLmWY.txt	https://youtu.be/3qV13EdLmWY?t=0
2026-05-28	tFlLunUprPA	ASMONGLD & DESTINY Want HASAN In JAIL?! (This Is Insane)	1758	11	0:00:11	0.6%	transcripts/ryle-kittenhouse/processed/20260528-tFlLunUprPA.txt	https://youtu.be/tFlLunUprPA?t=0
2025-08-23	Am26cum8Jfc	Destiny LIVE 🔴CRASHOUT	1168	11	0:00:11	0.9%	transcripts/ryle-kittenhouse/processed/20250823-Am26cum8Jfc.txt	https://youtu.be/Am26cum8Jfc?t=0
2026-04-11	LqBrVu0dxa0	INSANE CRASHOUT: Creepy Obsessed Zionist DGGer (WhickTV)	4954	10	0:00:10	0.2%	transcripts/ryle-kittenhouse/processed/20260411-LqBrVu0dxa0.txt	https://youtu.be/LqBrVu0dxa0?t=0
2025-12-07	ioVOGsQzw7s	Pisco DESTROYS H3H3 Defender in HEATED Debate	5146	9	0:00:09	0.2%	transcripts/ryle-kittenhouse/processed/20251207-ioVOGsQzw7s.txt	https://youtu.be/ioVOGsQzw7s?t=0
2025-09-21	0BTv-P9F42s	Destiny will HAVE to SETTLE his Court Case: People are saying	4625	9	0:00:09	0.2%	transcripts/ryle-kittenhouse/processed/20250921-0BTv-P9F42s.txt	https://youtu.be/0BTv-P9F42s?t=0
2025-09-19	PMkEYREqIEM	Destiny has been Demonetized on ALL of YOUTUBE (and daily memes)	1332	9	0:00:09	0.7%	transcripts/ryle-kittenhouse/processed/20250919-PMkEYREqIEM.txt	https://youtu.be/PMkEYREqIEM?t=0
2025-07-10	A9JN2_Nhbj4	Destiny's Latest Lies About His Court Case	920	9	0:00:09	0.9%	transcripts/ryle-kittenhouse/processed/20250710-A9JN2_Nhbj4.txt	https://youtu.be/A9JN2_Nhbj4?t=0
2025-06-20	0lPiHDu0xQc	DESTINY vs MRGRILL ORBITERS [lost tapes 2024] Pressed	2780	9	0:00:09	0.3%	transcripts/ryle-kittenhouse/processed/20250620-0lPiHDu0xQc.txt	https://youtu.be/0lPiHDu0xQc?t=0
2026-05-02	4J-ayIZ8vvY	Hasan EXPOSES Hutch for being SPINELESS & Destiny MELTS DOWN!	1967	8	0:00:08	0.4%	transcripts/ryle-kittenhouse/processed/20260502-4J-ayIZ8vvY.txt	https://youtu.be/4J-ayIZ8vvY?t=0
2025-09-09	MavKuPSRhA0	@WillyMacShow is a Lying Wretch in Conversation with @hutch	2969	8	0:00:08	0.3%	transcripts/ryle-kittenhouse/processed/20250909-MavKuPSRhA0.txt	https://youtu.be/MavKuPSRhA0?t=0
2025-05-20	nFF-vjs3P2s	Exposing Destiny's failing court case and his public lies	396	8	0:00:08	2.1%	transcripts/ryle-kittenhouse/processed/20250520-nFF-vjs3P2s.txt	https://youtu.be/nFF-vjs3P2s?t=0
2025-05-17	tn3r7lu_VDg	Destiny In Court series: Pxie's attorney's reply. TTS reading of court docs  [5/16/25]	441	8	0:00:08	1.9%	transcripts/ryle-kittenhouse/processed/20250517-tn3r7lu_VDg.txt	https://youtu.be/tn3r7lu_VDg?t=0
2026-02-06	-aTTWUw55lQ	Pisco DEBUNKS DGG/H3 Narrative on HASAN?!?	4264	7	0:00:07	0.2%	transcripts/ryle-kittenhouse/processed/20260206--aTTWUw55lQ.txt	https://youtu.be/-aTTWUw55lQ?t=0
2025-10-11	MxLrL2UFl-o	Destiny Is RUNNING out of TIME in his Court Case (Update) The WALLS are CLOSING IN!	3266	7	0:00:07	0.2%	transcripts/ryle-kittenhouse/processed/20251011-MxLrL2UFl-o.txt	https://youtu.be/MxLrL2UFl-o?t=0
2025-06-16	S2ktgxRqvZA	Destiny HATES ME for this VIDEO - Debunking Court Lies Part 3	810	7	0:00:07	0.9%	transcripts/ryle-kittenhouse/processed/20250616-S2ktgxRqvZA.txt	https://youtu.be/S2ktgxRqvZA?t=0
2026-03-11	ic7C08uQW5A	Destiny's Orbiters ARE MELTING DOWN Over Taylor Lorenz!	2913	6	0:00:06	0.2%	transcripts/ryle-kittenhouse/processed/20260311-ic7C08uQW5A.txt	https://youtu.be/ic7C08uQW5A?t=0
2025-10-08	8ZH2ReLbfxY	Destiny Is LYING About His Court Case!!! (Pxie Court Update with Jstlk)	3900	6	0:00:06	0.2%	transcripts/ryle-kittenhouse/processed/20251008-8ZH2ReLbfxY.txt	https://youtu.be/8ZH2ReLbfxY?t=0
2025-07-01	0nufgK3Zc78	CONFRONTING AIKO about her take on Straighterade (betraying Pxie?)	2163	6	0:00:06	0.3%	transcripts/ryle-kittenhouse/processed/20250701-0nufgK3Zc78.txt	https://youtu.be/0nufgK3Zc78?t=0
2025-05-10	qHbrVZKzYck	DESTINY COURT REVIEW: Attacking and Thr*atening JayStalk ON THE RECORD!	2134	6	0:00:06	0.3%	transcripts/ryle-kittenhouse/processed/20250510-qHbrVZKzYck.txt	https://youtu.be/qHbrVZKzYck?t=0
2026-05-16	uZ5Fe_k-xfQ	"The ""Secret"" SNARK Discord Logs EXPOSED"	3107	4	0:00:04	0.1%	transcripts/ryle-kittenhouse/processed/20260516-uZ5Fe_k-xfQ.txt	https://youtu.be/uZ5Fe_k-xfQ?t=0
2025-12-28	HAi84RH8bPQ	"Pisco SNAPS: ""I Am NOT Backing Down!!"""	4442	4	0:00:04	0.1%	transcripts/ryle-kittenhouse/processed/20251228-HAi84RH8bPQ.txt	https://youtu.be/HAi84RH8bPQ?t=0
2025-06-26	cJ28T9th7Ys	Taking @destiny to the Cleaners (Court Update)	1310	4	0:00:04	0.3%	transcripts/ryle-kittenhouse/processed/20250626-cJ28T9th7Ys.txt	https://youtu.be/cJ28T9th7Ys?t=0
2026-02-20	A1dL67jCxQE	Hutch gets DEMOLISHED by Pisco’s 'LAWYER LOGIC'?!	8662	3	0:00:03	0.0%	transcripts/ryle-kittenhouse/processed/20260220-A1dL67jCxQE.txt	https://youtu.be/A1dL67jCxQE?t=0
2025-04-19	3Rt8V49QwUs	In major escalation, Asmongold calls Destiny a sexpest off of their latest spat. (Full Context)	239	3	0:00:03	1.4%	transcripts/ryle-kittenhouse/processed/20250419-3Rt8V49QwUs.txt	https://youtu.be/3Rt8V49QwUs?t=0
2026-02-15	VAToRCzptUE	Who Is FOODSHOPS? The Dark History of the PDF MANIFESTO	6852	2	0:00:02	0.0%	transcripts/ryle-kittenhouse/processed/20260215-VAToRCzptUE.txt	https://youtu.be/VAToRCzptUE?t=0
2026-01-18	GF7JmGL60vw	"Confronted by DESTINY'S Obsessed ""IRL"" FAN GIRL!!"	2358	2	0:00:02	0.1%	transcripts/ryle-kittenhouse/processed/20260118-GF7JmGL60vw.txt	https://youtu.be/GF7JmGL60vw?t=0
2025-10-31	gpKlJr1-SZg	Dan Saltman Takes Things TOO FAR! Plus Miz & QT Drama	12262	2	0:00:02	0.0%	transcripts/ryle-kittenhouse/processed/20251031-gpKlJr1-SZg.txt	https://youtu.be/gpKlJr1-SZg?t=0
2025-09-03	24-anZ4c6wQ	Pisco and Hutch BATTLE over Chorus DARK MONEY Scandal	7187	2	0:00:02	0.0%	transcripts/ryle-kittenhouse/processed/20250903-24-anZ4c6wQ.txt	https://youtu.be/24-anZ4c6wQ?t=0
2025-08-07	FSjeM3lXMDc	Pisco gets PRESSED over his QUESTIONABLE Appearance on Tim Pool, Did Pisco Redeem Himself?	8533	2	0:00:02	0.0%	transcripts/ryle-kittenhouse/processed/20250807-FSjeM3lXMDc.txt	https://youtu.be/FSjeM3lXMDc?t=0
2025-05-18	AWnv63oRKV0	Alyssa Mercante becomes a LOLCOW! In SHOCKING video going over all of her HATERS!? ft. Dan Saltman	4605	2	0:00:02	0.0%	transcripts/ryle-kittenhouse/processed/20250518-AWnv63oRKV0.txt	https://youtu.be/AWnv63oRKV0?t=0
2025-05-10	Yim8Exg5eU4	[pt2] Destiny SEETHING on Case / Slandering Victims [5/10/25]  NoDeadAir Version (see description)	411	2	0:00:02	0.5%	transcripts/ryle-kittenhouse/processed/20250510-Yim8Exg5eU4.txt	https://youtu.be/Yim8Exg5eU4?t=0
2025-12-23	Gh2cUO1SvvA	I WILL LEAK IT ALL!! (Foodshops vs. Dan Saltman)	4693	1	0:00:01	0.0%	transcripts/ryle-kittenhouse/processed/20251223-Gh2cUO1SvvA.txt	https://youtu.be/Gh2cUO1SvvA?t=0
