date	video_id	title	duration_seconds	insult_seconds	insult_hms	insult_share	source_file	source_url
2025-12-19	t8rzOwpGrIo	DGG Orbiter CIVIL WAR Part 2: Dan Saltman vs. Foodshops	10247	129	0:02:09	1.3%	transcripts/ryle-kittenhouse/processed/20251219-t8rzOwpGrIo.txt	https://youtu.be/t8rzOwpGrIo?t=0
2026-05-22	06W6lBkB1qg	Snark Discord CAUSING HAVOC? Destiny BLACKLISTS Whicktv??	2664	127	0:02:07	4.8%	transcripts/ryle-kittenhouse/processed/20260522-06W6lBkB1qg.txt	https://youtu.be/06W6lBkB1qg?t=0
2026-02-18	-L4hm0le3_8	Hasan GOES NUCLEAR: “Destiny is an OBJECTIVELY BAD FATHER!”	7538	121	0:02:01	1.6%	transcripts/ryle-kittenhouse/processed/20260218--L4hm0le3_8.txt	https://youtu.be/-L4hm0le3_8?t=0
2025-12-25	hVjAc_ndlp0	Pisco DESTROYS DGG Lawyer on H3 Lawsuit!	8472	117	0:01:57	1.4%	transcripts/ryle-kittenhouse/processed/20251225-hVjAc_ndlp0.txt	https://youtu.be/hVjAc_ndlp0?t=0
2025-07-09	dM7THq678nY	Destiny is STALKING Kelly Jean!	6357	116	0:01:56	1.8%	transcripts/ryle-kittenhouse/processed/20250709-dM7THq678nY.txt	https://youtu.be/dM7THq678nY?t=0
2025-09-16	WJYu_JNw_r0	Destiny gets STEAMROLLED and EMBARRASSED by Ana Kasparian on Piers Morgan Panel	8630	114	0:01:54	1.3%	transcripts/ryle-kittenhouse/processed/20250916-WJYu_JNw_r0.txt	https://youtu.be/WJYu_JNw_r0?t=0
2026-05-10	FK2ugwXQaSQ	Debating Destiny's Most PERFORMATIVE Cultist! (HEATED)	4310	113	0:01:53	2.6%	transcripts/ryle-kittenhouse/processed/20260510-FK2ugwXQaSQ.txt	https://youtu.be/FK2ugwXQaSQ?t=0
2025-09-10	qGRn9Y4l20Y	Discovering DESTINY Attempted to Traffic a Minor: Memes & Monologues Aug 21st, 22nd, & 23rd	5778	112	0:01:52	1.9%	transcripts/ryle-kittenhouse/processed/20250910-qGRn9Y4l20Y.txt	https://youtu.be/qGRn9Y4l20Y?t=0
2025-08-22	wSDOqj8hWBU	Dan QUITS AE (Destiny's Podcast). THIS IS NOT A DRILL.	4287	105	0:01:45	2.4%	transcripts/ryle-kittenhouse/processed/20250822-wSDOqj8hWBU.txt	https://youtu.be/wSDOqj8hWBU?t=0
2025-09-19	3ZwszYEzhTE	Destiny gets BRUTALLY Heckled ALL DAY on UnF⚡America Tour	9774	104	0:01:44	1.1%	transcripts/ryle-kittenhouse/processed/20250919-3ZwszYEzhTE.txt	https://youtu.be/3ZwszYEzhTE?t=0
2025-08-28	GqWbUW89yNo	Ethan Klein NUKES Destiny (this time he's NOT HOLDING BACK)	4810	102	0:01:42	2.1%	transcripts/ryle-kittenhouse/processed/20250828-GqWbUW89yNo.txt	https://youtu.be/GqWbUW89yNo?t=0
2025-08-21	mcJe07WnIhE	🚨DESTINY NOOO! SHE WAS 17?! EMERGENCY TDD STREAM🚨	4662	101	0:01:41	2.2%	transcripts/ryle-kittenhouse/processed/20250821-mcJe07WnIhE.txt	https://youtu.be/mcJe07WnIhE?t=0
2025-11-12	fgOcwGd1m5g	Destiny's DESPERATE LIE has LEGAL IMPLICATIONS!	3063	99	0:01:39	3.2%	transcripts/ryle-kittenhouse/processed/20251112-fgOcwGd1m5g.txt	https://youtu.be/fgOcwGd1m5g?t=0
2025-12-30	08q51cudUkA	Destiny Court Case is COLLAPSING?!	4964	98	0:01:38	2.0%	transcripts/ryle-kittenhouse/processed/20251230-08q51cudUkA.txt	https://youtu.be/08q51cudUkA?t=0
2025-11-19	y3SbWA8Jdig	Destiny & Dan TRICKED Into Doing HITPIECE Interview	3271	98	0:01:38	3.0%	transcripts/ryle-kittenhouse/processed/20251119-y3SbWA8Jdig.txt	https://youtu.be/y3SbWA8Jdig?t=0
2026-05-04	ExmO1xk8EBE	Destiny orbiter Foodshops gets EXPOSED in SFO Hitpiece (MELTDOWN)	3745	97	0:01:37	2.6%	transcripts/ryle-kittenhouse/processed/20260504-ExmO1xk8EBE.txt	https://youtu.be/ExmO1xk8EBE?t=0
2025-09-16	3ty-FMv8T_w	Kuihman & Jaystalk discuss Destiny's latest VIOLENT Statements (is he FINISHED?)	6884	93	0:01:33	1.4%	transcripts/ryle-kittenhouse/processed/20250916-3ty-FMv8T_w.txt	https://youtu.be/3ty-FMv8T_w?t=0
2026-02-26	dzxHxnvFQ5g	Pisco DUMPSTERS DGG Snarkers BRIGADING His Stream!	5671	90	0:01:30	1.6%	transcripts/ryle-kittenhouse/processed/20260226-dzxHxnvFQ5g.txt	https://youtu.be/dzxHxnvFQ5g?t=0
2026-01-29	8Ej01mp-EQM	DESTINY has COMPLETELY LOST HIS MIND?!	3419	90	0:01:30	2.6%	transcripts/ryle-kittenhouse/processed/20260129-8Ej01mp-EQM.txt	https://youtu.be/8Ej01mp-EQM?t=0
2025-04-23	Z0VW_BMEfbs	Aiden,Kuihman,KellyJean,Mrow give input on Nick Deorio, WillyMac and the 'Content Cop: Destiny'	5778	90	0:01:30	1.6%	transcripts/ryle-kittenhouse/processed/20250423-Z0VW_BMEfbs.txt	https://youtu.be/Z0VW_BMEfbs?t=0
2025-07-12	vQSy_eNtlHk	Brittan Simon ATTACKS Aba, Destiny, and Tom Foolery...then LEAKS LOGS!	7199	89	0:01:29	1.2%	transcripts/ryle-kittenhouse/processed/20250712-vQSy_eNtlHk.txt	https://youtu.be/vQSy_eNtlHk?t=0
2025-12-05	a6COPRrxlyc	Lavlune SNARKS DESTINY'S COURT CASE	3805	88	0:01:28	2.3%	transcripts/ryle-kittenhouse/processed/20251205-a6COPRrxlyc.txt	https://youtu.be/a6COPRrxlyc?t=0
2025-07-25	o0R5k2UKn8k	Adam & Sitch MOCK Destiny INCESSANTLY! It's Truly Not Fair!	6515	88	0:01:28	1.4%	transcripts/ryle-kittenhouse/processed/20250725-o0R5k2UKn8k.txt	https://youtu.be/o0R5k2UKn8k?t=0
2025-08-27	VEBWevJAV7M	TOP (conservative?) Destiny Orbiter explains why his QUESTIONABLE actions are OKAY!	9281	86	0:01:26	0.9%	transcripts/ryle-kittenhouse/processed/20250827-VEBWevJAV7M.txt	https://youtu.be/VEBWevJAV7M?t=0
2025-04-09	fNRQPzl6sU8	Destiny CRIES and MOANS that he gets no upvotes on Livestreamfail, comes out as PRO CH██D P██N ?	5835	86	0:01:26	1.5%	transcripts/ryle-kittenhouse/processed/20250409-fNRQPzl6sU8.txt	https://youtu.be/fNRQPzl6sU8?t=0
2025-07-08	3iNfiLZVX_I	Destiny VS KellyJean in the Great Science Debate (NEW!)	4573	85	0:01:25	1.9%	transcripts/ryle-kittenhouse/processed/20250708-3iNfiLZVX_I.txt	https://youtu.be/3iNfiLZVX_I?t=0
2025-05-22	lRs68pEPips	Destiny Publicly ATTACKS PXIE! EsportsBatman's legal analysis, ft. KellyJean, Ahrelevant	5445	85	0:01:25	1.6%	transcripts/ryle-kittenhouse/processed/20250522-lRs68pEPips.txt	https://youtu.be/lRs68pEPips?t=0
2025-09-11	DCHMJZejjRU	Streamers REACT to Charlie Kirk's death: Destiny, Hasan, Asmongold, Tectone	8943	84	0:01:24	0.9%	transcripts/ryle-kittenhouse/processed/20250911-DCHMJZejjRU.txt	https://youtu.be/DCHMJZejjRU?t=0
2025-11-17	1C7VdxOD5Rk	JSTLK debates MASSIVE Destiny Fan Over PXIE CASE	5605	83	0:01:23	1.5%	transcripts/ryle-kittenhouse/processed/20251117-1C7VdxOD5Rk.txt	https://youtu.be/1C7VdxOD5Rk?t=0
2025-11-14	m4pAb_m01BU	Destiny was CATFISHED with IMAGES of a M***R?	7015	82	0:01:22	1.2%	transcripts/ryle-kittenhouse/processed/20251114-m4pAb_m01BU.txt	https://youtu.be/m4pAb_m01BU?t=0
2025-08-22	hhs-eiVpzn0	Destiny's Bad Day GETS WORSE: He's facing JAIL-TIME/FINES in COURT!	4021	82	0:01:22	2.0%	transcripts/ryle-kittenhouse/processed/20250822-hhs-eiVpzn0.txt	https://youtu.be/hhs-eiVpzn0?t=0
2025-12-06	5V-rCmzWG48	COURT DISASTER: Destiny’s Own Filings EXPOSE HIM!	4111	79	0:01:19	1.9%	transcripts/ryle-kittenhouse/processed/20251206-5V-rCmzWG48.txt	https://youtu.be/5V-rCmzWG48?t=0
2025-08-28	JGG0MZ4_Fgo	Destiny goes FULL SNARK (ft. @Dickers)	4442	79	0:01:19	1.8%	transcripts/ryle-kittenhouse/processed/20250828-JGG0MZ4_Fgo.txt	https://youtu.be/JGG0MZ4_Fgo?t=0
2025-09-20	as9uATOhOrw	Hasan KNEELS on Destiny and Dan Saltman (Demonetized, and Shunned)	6472	78	0:01:18	1.2%	transcripts/ryle-kittenhouse/processed/20250920-as9uATOhOrw.txt	https://youtu.be/as9uATOhOrw?t=0
2025-08-28	w-iBE5y5agI	Streamers DISAVOW Destiny!? Asmongold, Tectone (It's over)	7334	77	0:01:17	1.0%	transcripts/ryle-kittenhouse/processed/20250828-w-iBE5y5agI.txt	https://youtu.be/w-iBE5y5agI?t=0
2026-05-10	6JYSWihbJjA	Lonerbox is LOST: Defending the Indefensible for Destiny	1844	76	0:01:16	4.1%	transcripts/ryle-kittenhouse/processed/20260510-6JYSWihbJjA.txt	https://youtu.be/6JYSWihbJjA?t=0
2026-01-26	6pGUKOkqGe8	Destiny Wants His Fans to STALK Hasan?? (Too Far)	3011	76	0:01:16	2.5%	transcripts/ryle-kittenhouse/processed/20260126-6pGUKOkqGe8.txt	https://youtu.be/6pGUKOkqGe8?t=0
2025-07-25	HGIlAZc-93Y	Destiny PROXY BATTLE! ConnerPoints VS Pisco in BRUTAL Argument Over Punching Left	17687	74	0:01:14	0.4%	transcripts/ryle-kittenhouse/processed/20250725-HGIlAZc-93Y.txt	https://youtu.be/HGIlAZc-93Y?t=0
2025-09-15	q-dWKjvyKdg	Destiny's Orbiters STRUGGLE to Defend his NEW Pro PVP Stance (Hutch & Foodshops)	6630	73	0:01:13	1.1%	transcripts/ryle-kittenhouse/processed/20250915-q-dWKjvyKdg.txt	https://youtu.be/q-dWKjvyKdg?t=0
2025-09-06	Z9GUiNezO5s	Destiny's Court Case just got A LOT Worse for Him	5958	73	0:01:13	1.2%	transcripts/ryle-kittenhouse/processed/20250906-Z9GUiNezO5s.txt	https://youtu.be/Z9GUiNezO5s?t=0
2026-04-07	BwKbNZHk4G8	Destiny FINALLY KNEELS! Why He SURRENDERED to Hasan...	6699	72	0:01:12	1.1%	transcripts/ryle-kittenhouse/processed/20260407-BwKbNZHk4G8.txt	https://youtu.be/BwKbNZHk4G8?t=0
2025-10-11	OdGdd8guvqE	Destiny MELTDOWN as Pxie Court Update ANGERS Him (The Walls Are Closing In w/ JSTLK)	5514	72	0:01:12	1.3%	transcripts/ryle-kittenhouse/processed/20251011-OdGdd8guvqE.txt	https://youtu.be/OdGdd8guvqE?t=0
2026-03-10	9d4MdcbAi7U	Destiny gets BODIED by Taylor Lorenz on DARK MONEY!	14217	69	0:01:09	0.5%	transcripts/ryle-kittenhouse/processed/20260310-9d4MdcbAi7U.txt	https://youtu.be/9d4MdcbAi7U?t=0
2026-01-10	rP0CRAyEWm4	JSTLK & Lavlune BRUTALLY Mock Destiny while he RAGES IN CHAT	3182	69	0:01:09	2.2%	transcripts/ryle-kittenhouse/processed/20260110-rP0CRAyEWm4.txt	https://youtu.be/rP0CRAyEWm4?t=0
2026-03-16	TJmEN0rOpJY	Why Destiny is WRONG About Taylor Lorenz and DARK MONEY	4150	68	0:01:08	1.6%	transcripts/ryle-kittenhouse/processed/20260316-TJmEN0rOpJY.txt	https://youtu.be/TJmEN0rOpJY?t=0
2025-08-23	tqzFof-geyM	KUIHMAN returns to talk Destiny's DOWNFALL	3079	68	0:01:08	2.2%	transcripts/ryle-kittenhouse/processed/20250823-tqzFof-geyM.txt	https://youtu.be/tqzFof-geyM?t=0
2026-05-29	rq0BQs75vOM	HE LEAKED EVERYTHING! Destiny's Darkest Drama Yet	2336	67	0:01:07	2.9%	transcripts/ryle-kittenhouse/processed/20260529-rq0BQs75vOM.txt	https://youtu.be/rq0BQs75vOM?t=0
2025-10-24	jzIP9xfGcSo	NotSoErudite’s SECRET DMs About Destiny EXPOSED by SIC!!	4575	65	0:01:05	1.4%	transcripts/ryle-kittenhouse/processed/20251024-jzIP9xfGcSo.txt	https://youtu.be/jzIP9xfGcSo?t=0
2025-10-22	0dEe0jLcMrI	LonerBox ACCUSED of CAPING for Destiny (Jstlk & Kuihman)	4501	65	0:01:05	1.4%	transcripts/ryle-kittenhouse/processed/20251022-0dEe0jLcMrI.txt	https://youtu.be/0dEe0jLcMrI?t=0
2025-08-18	FLd3_4j5G0M	Destiny's Latest Orbiter LIKES KIDS (FoodSlops)	4021	64	0:01:04	1.6%	transcripts/ryle-kittenhouse/processed/20250818-FLd3_4j5G0M.txt	https://youtu.be/FLd3_4j5G0M?t=0
2025-05-24	LAcGkpjy-hU	Destiny PRESSURING ORBITERS to leak logs with WITNESSES!	4394	63	0:01:03	1.4%	transcripts/ryle-kittenhouse/processed/20250524-LAcGkpjy-hU.txt	https://youtu.be/LAcGkpjy-hU?t=0
2025-04-20	gkNnhNUlmbE	Destiny's Kiwi Farms Lie.	1890	61	0:01:01	3.2%	transcripts/ryle-kittenhouse/processed/20250420-gkNnhNUlmbE.txt	https://youtu.be/gkNnhNUlmbE?t=0
2025-05-29	RPd3XaumNQY	Admit Destiny Is GUILTY! Hutch disavows Destiny, Merc presses Darius [audio fixed]	1720	59	0:00:59	3.4%	transcripts/ryle-kittenhouse/processed/20250529-RPd3XaumNQY.txt	https://youtu.be/RPd3XaumNQY?t=0
2025-08-24	c5RZO8-rZv8	Lavlune + Kuihman MOCK Destiny (& Tom Foolery?)	7275	58	0:00:58	0.8%	transcripts/ryle-kittenhouse/processed/20250824-c5RZO8-rZv8.txt	https://youtu.be/c5RZO8-rZv8?t=0
2026-05-09	omywynSUXi8	"PISCO EXPOSES THE DESTINY CULT: ""You Are Lying About My Views"""	3137	56	0:00:56	1.8%	transcripts/ryle-kittenhouse/processed/20260509-omywynSUXi8.txt	https://youtu.be/omywynSUXi8?t=0
2025-06-15	tuQyRl2qmWU	PISCO defends HASAN and DESTINY takes issue with former orbiter	5713	56	0:00:56	1.0%	transcripts/ryle-kittenhouse/processed/20250615-tuQyRl2qmWU.txt	https://youtu.be/tuQyRl2qmWU?t=0
2026-05-26	l8TG2lCVZSA	The Most EMBARRASSING Destiny Orbiter Manifesto Ever	3023	55	0:00:55	1.8%	transcripts/ryle-kittenhouse/processed/20260526-l8TG2lCVZSA.txt	https://youtu.be/l8TG2lCVZSA?t=0
2025-08-14	Zk6uzrKoAJA	Kuihman CLAPS BACK at WIllyMac while AMOURANTH has MELTDOWN with Husband	8713	54	0:00:54	0.6%	transcripts/ryle-kittenhouse/processed/20250814-Zk6uzrKoAJA.txt	https://youtu.be/Zk6uzrKoAJA?t=0
2025-07-21	j44oZAkkVOU	Destiny Abuses ANOTHER WOMAN! This time, in the cross hairs: Amy Dangerfield	2677	51	0:00:51	1.9%	transcripts/ryle-kittenhouse/processed/20250721-j44oZAkkVOU.txt	https://youtu.be/j44oZAkkVOU?t=0
